Author,f1-score,recall,support,precision,AUC
Abhi Dhar,0.7058823529411764,1.0,6,0.5454545454545454,0.9995941558441559
Michael Dickey,0.988962472406181,0.9781659388646288,458,1.0,0.8778409090909091
