Author,f1-score,precision,recall,support
Kai Li,0.6412213740458016,0.6363636363636364,0.6461538461538462,65
weighted avg,0.8336296400484955,0.8378904925536392,0.8317757009345794,749
micro avg,0.8317757009345794,0.8317757009345794,0.8317757009345794,749
Kevin James Matzen,0.962962962962963,0.9578947368421052,0.9680851063829787,94
macro avg,0.8197425008837337,0.8145049310414599,0.8270310576678096,749
Ronghang Hu,0.887218045112782,0.9076923076923077,0.8676470588235294,68
Jeff Donahue,0.8722316865417377,0.9078014184397163,0.839344262295082,305
Yangqing Jia,0.7548209366391183,0.7172774869109948,0.7965116279069767,172
Sergio Guadarrama,0.8,0.76,0.8444444444444444,45
