Author,AUC,f1-score,recall,support,precision,%
Martin Peschke,0.8896961477606639,0.49635036496350377,0.7727272727272727,44,0.3655913978494624,21.830985915492956
Mark Wenning,0.916891371340524,0.6428571428571428,0.8076923076923077,78,0.5338983050847458,27.699530516431924
Thi Tran,0.9801058084426321,0.9400921658986175,0.9315068493150684,219,0.9488372093023256,50.46948356807512
