Author,f1-score,precision,recall,support
Kai Li,0.5631067961165048,0.4393939393939394,0.7837837837837838,37
weighted avg,0.7875995447380881,0.8101706418478795,0.7837116154873164,749
micro avg,0.7837116154873164,0.7837116154873164,0.7837116154873164,749
Kevin James Matzen,0.9405405405405406,0.9157894736842105,0.9666666666666667,90
macro avg,0.7541824872797339,0.7078407489933437,0.8540509060602007,749
Ronghang Hu,0.8376068376068375,0.7538461538461538,0.9423076923076923,52
Jeff Donahue,0.8513513513513513,0.8936170212765957,0.8129032258064516,310
Yangqing Jia,0.68384074941452,0.7643979057591623,0.6186440677966102,236
Sergio Guadarrama,0.6486486486486487,0.48,1.0,24
