Author,precision,recall,support,f1-score,AUC,%
Joel Holdsworth,0.7142857142857143,0.9090909090909091,11,0.8,0.9877551020408163,0.48109965635738833
Michael Dickey,0.9977409638554217,0.9858630952380952,2688,0.9917664670658682,0.986946802959871,91.27147766323024
Abhi Dhar,0.8802816901408451,0.9398496240601504,133,0.9090909090909092,0.9961019638960524,4.879725085910653
Mignon Belongie,0.8,1.0,32,0.888888888888889,0.88575,1.3745704467353952
Vladimir Shcherbakov,0.7777777777777778,1.0,14,0.8750000000000001,1.0,0.6185567010309279
Greg Williamson,1.0,1.0,26,1.0,1.0,0.8934707903780069
Serge,0.8571428571428571,1.0,12,0.923076923076923,1.0,0.48109965635738833
