Author,f1-score,recall,support,precision
macro avg,0.6488737781555461,0.9901531728665207,459,0.5909090909090909
Abhi Dhar,0.3076923076923077,1.0,2,0.18181818181818182
Michael Dickey,0.9900552486187846,0.9803063457330415,457,1.0
micro avg,0.9803921568627451,0.9803921568627451,459,0.9803921568627451
weighted avg,0.9870819896169263,0.9803921568627451,459,0.9964349376114082
