Author,support,precision,AUC,recall,f1-score
Mark Wenning,72,0.9861111111111112,0.9986306729264476,0.9861111111111112,0.8861111111111112
Thi Tran,71,0.9859154929577465,0.9957942097026604,0.9859154929577465,0.9859154929577465
