Author,f1-score,precision,AUC,recall,support
Kai Li,0.47727272727272724,0.3181818181818182,0.9221460579440082,0.9545454545454546,22
Kevin James Matzen,0.8554216867469879,0.7473684210526316,0.9988330919040721,1.0,71
Ronghang Hu,0.712871287128713,0.5538461538461539,0.9723009446693657,1.0,36
Jeff Donahue,0.8451242829827916,0.7836879432624113,0.9579935304569684,0.91701244813278,241
Yangqing Jia,0.6402640264026404,0.5078534031413613,0.9406584848655445,0.8660714285714286,112
Sergio Guadarrama,0.6233766233766234,0.48,0.9274821173104435,0.8888888888888888,27
