Author,f1-score,recall,support,precision
macro avg,0.8501664816870144,0.9944812362030906,459,0.7727272727272727
Abhi Dhar,0.7058823529411764,1.0,6,0.5454545454545454
Michael Dickey,0.9944506104328523,0.9889624724061811,453,1.0
micro avg,0.9891067538126361,0.9891067538126361,459,0.9891067538126361
weighted avg,0.9906784763479939,0.9891067538126361,459,0.994058229352347
